sale_id,product_id,store_id,sale_date,quantity,unit_price,total_price
1,1,1,2025-01-05,2,10.00,20.00
2,2,1,2025-01-05,1,15.00,15.00
3,3,2,2025-02-12,3,7.50,22.50
4,4,3,2025-03-03,1,50.00,50.00
5,5,4,2025-04-10,5,3.00,15.00
6,1,2,2025-05-21,2,10.00,20.00
7,6,5,2025-06-30,4,8.00,32.00
8,7,6,2025-07-14,1,12.00,12.00
9,8,7,2025-08-08,2,20.00,40.00
10,9,8,2025-09-01,3,6.00,18.00
11,10,1,2024-12-25,1,25.00,25.00
12,2,3,2024-11-11,2,15.00,30.00
13,3,4,2024-10-31,1,7.50,7.50
14,1,1,2025-05-21,1,10.00,10.00
15,4,2,2025-03-03,2,50.00,100.00
16,5,3,2025-04-10,1,3.00,3.00
17,6,4,2025-06-30,2,8.00,16.00
18,7,5,2025-07-14,3,12.00,36.00
19,8,6,2025-08-08,1,20.00,20.00
20,9,7,2025-09-01,5,6.00,30.00
