venta_id,fecha,cantidad,producto_id,cliente_id
1001,2025-01-05,1,P001,C101
1002,2025-01-05,2,P002,C102
1003,2025-01-06,1,P004,C103
1004,2025-01-07,3,P007,C104
1005,2025-01-08,1,P005,C105
1006,2025-02-10,1,P001,C106
1007,2025-02-12,2,P003,C107
1008,2025-03-01,1,P004,C108
1009,2025-03-02,1,P008,C109
1010,2025-04-15,1,P010,C110
1011,2025-04-16,4,P002,C111
1012,2025-04-18,1,P006,C112
1013,2025-05-20,2,P009,C113
1014,2025-05-22,1,P001,C114
1015,2025-06-01,1,P008,C115
1016,2025-06-03,1,P004,C116
1017,2025-07-05,2,P005,C117
1018,2025-07-07,1,P001,C118
1019,2025-08-10,3,P007,C119
1020,2025-08-12,1,P003,C120
1021,2025-08-15,1,P001,C121

