PRODUCT_ID,PRODUCT_NAME,CATEGORY
3,Gadget C                                                                                            ,Electronics                                       
4,Gizmo D                                                                                             ,Electronics                                       
6,Item F                                                                                              ,Accessories                                       
7,Product G                                                                                           ,Hardware                                          
8,Product H                                                                                           ,Electronics                                       
9,Product I                                                                                           ,Accessories                                       
10,Product J                                                                                           ,Hardware                                          
5,Thing E                                                                                             ,Accessories                                       
1,Widget A                                                                                            ,Hardware                                          
2,Widget B                                                                                            ,Hardware                                          
